301, 2024-01-01, 1901, 001, Fuel, 500.00, 1, 500.00, 500.00, 75.00, 575.00
302, 2024-01-02, 1902, 002, Vehicle Maintenance, 300.00, 1, 300.00, 300.00, 45.00, 345.00
303, 2024-01-03, 1903, 004, Office Supplies, 150.00, 1, 150.00, 150.00, 22.50, 172.50
304, 2024-01-04, 1901, 005, Insurance Premium, 800.00, 1, 800.00, 800.00, 120.00, 920.00
305, 2024-01-05, 1902, 006, Marketing, 400.00, 1, 400.00, 400.00, 60.00, 460.00
306, 2024-01-06, 1903, 005, Rent, 1200.00, 1, 1200.00, 1200.00, 180.00, 1380.00
307, 2024-01-07, 1901, 001, Fuel, 550.00, 1, 550.00, 550.00, 82.50, 632.50
308, 2024-01-08, 1902, 006, Utilities, 250.00, 1, 250.00, 250.00, 37.50, 287.50
309, 2024-01-09, 1903, 007, Internet and Phone, 180.00, 1, 180.00, 180.00, 27.00, 207.00
310, 2024-01-10, 1901, 002, Vehicle Maintenance, 320.00, 1, 320.00, 320.00, 48.00, 368.00
311, 2024-01-11, 1902, 001, Fuel, 520.00, 1, 520.00, 520.00, 78.00, 598.00
312, 2024-01-12, 1903, 005, Insurance Premium, 850.00, 1, 850.00, 850.00, 127.50, 977.50
313, 2024-01-13, 1901, 004, Office Supplies, 170.00, 1, 170.00, 170.00, 25.50, 195.50
314, 2024-01-14, 1902, 006, Marketing, 450.00, 1, 450.00, 450.00, 67.50, 517.50
315, 2024-01-15, 1903, 005, Rent, 1250.00, 1, 1250.00, 1250.00, 187.50, 1437.50
316, 2024-01-16, 1901, 006, Utilities, 260.00, 1, 260.00, 260.00, 39.00, 299.00
317, 2024-01-17, 1902, 001, Fuel, 530.00, 1, 530.00, 530.00, 79.50, 609.50
318, 2024-01-18, 1903, 007, Internet and Phone, 190.00, 1, 190.00, 190.00, 28.50, 218.50
319, 2024-01-19, 1901, 002, Vehicle Maintenance, 310.00, 1, 310.00, 310.00, 46.50, 356.50
320, 2024-01-20, 1902, 001, Fuel, 510.00, 1, 510.00, 510.00, 76.50, 586.50
321, 2024-01-21, 1903, 005, Insurance Premium, 900.00, 1, 900.00, 900.00, 135.00, 1035.00
322, 2024-01-22, 1901, 004, Office Supplies, 160.00, 1, 160.00, 160.00, 24.00, 184.00
